Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
216	:	1758635712.953	     6.883	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 215 --silence-mode
214	:	1758635712.249	     7.707	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 213 --silence-mode
212	:	1758635711.625	     8.421	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 211 --silence-mode
218	:	1758635714.530	     6.574	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 217 --silence-mode
219	:	1758635714.693	     6.832	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 218 --silence-mode
217	:	1758635713.580	     8.264	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 216 --silence-mode
220	:	1758635715.546	     7.311	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 219 --silence-mode
221	:	1758635716.154	     6.988	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 220 --silence-mode
222	:	1758635716.761	     6.513	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 221 --silence-mode
223	:	1758635717.459	     7.840	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 222 --silence-mode
224	:	1758635718.841	     6.577	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 223 --silence-mode
225	:	1758635719.605	     6.578	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 224 --silence-mode
228	:	1758635720.050	     6.689	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 227 --silence-mode
